City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Lompoc,34.6391,-120.4579,58.93,87,0,11.99,US,1697434549
81,Kulhudhuffushi,6.6221,73.07,83.1,70,45,12.35,MV,1697434549
82,College,64.8569,-147.8028,34.9,90,40,4.61,US,1697434550
83,Anadyr,64.75,177.4833,34.3,93,75,6.71,RU,1697434550
84,Longyearbyen,78.2186,15.6401,26.44,68,75,20.71,SJ,1697434495
85,Tres Isletas,-26.3407,-60.4321,81.79,52,80,7.38,AR,1697434551
86,Bo`ka,40.8108,69.1986,61.21,27,9,2.82,UZ,1697434551
87,Saint-Philippe,-21.3585,55.7679,80.19,75,16,8.48,RE,1697434552
88,Lerwick,60.1545,-1.1494,50.0,79,99,15.59,GB,1697434552
89,Camaná,-16.6228,-72.7111,64.31,89,58,4.79,PE,1697434553
90,Mwene-Ditu,-7.0,23.45,74.16,68,94,0.94,CD,1697434553
91,Mayqayyng,51.4625,75.7986,51.87,46,18,15.57,KZ,1697434553
92,Lebu,-37.6167,-73.65,46.06,85,1,14.63,CL,1697434286
93,Bethel,41.3712,-73.414,46.9,84,40,0.0,US,1697434554
94,Nouadhibou,20.931,-17.0347,75.79,59,66,10.74,MR,1697434555
95,Mhamid,29.82,-5.72,71.73,26,70,6.44,MA,1697434555
96,Yarmouth,41.7057,-70.2286,55.45,76,100,18.01,US,1697434556
97,Poronaysk,49.2167,143.1167,52.29,75,100,23.42,RU,1697434556
98,Waajid,3.8096,43.2463,83.97,55,84,11.45,SO,1697434556
99,Vilhena,-12.7406,-60.1458,74.25,64,37,2.42,BR,1697434557
100,Whitehorse,60.7161,-135.0538,40.01,84,0,8.05,CA,1697434557
101,Manicoré,-5.8092,-61.3003,78.28,67,43,1.66,BR,1697434558
102,Puerto Natales,-51.7236,-72.4875,40.87,74,93,10.78,CL,1697434558
103,Tabou,4.423,-7.3528,75.34,92,76,5.88,CI,1697434559
104,Shimoda,34.6667,138.95,73.76,68,53,2.24,JP,1697434559
105,Mahon,39.8885,4.2658,64.96,94,20,3.44,ES,1697434560
106,Yellowknife,62.456,-114.3525,45.41,100,75,2.3,CA,1697434560
107,Blackmans Bay,-43.0167,147.3167,48.72,84,70,5.99,AU,1697434561
108,Khandyga,62.6667,135.6,16.65,89,90,2.68,RU,1697434561
109,Taoudenni,22.6783,-3.9836,79.5,21,1,6.13,ML,1697434562
110,Ilulissat,69.2167,-51.1,19.42,86,100,25.32,GL,1697434562
111,Weno,7.4515,151.8468,87.75,74,100,8.05,FM,1697434562
112,Minas de Marcona,-15.2119,-75.1103,57.56,86,20,7.76,PE,1697434563
113,Fortuna,40.5982,-124.1573,63.52,75,0,10.36,US,1697434563
114,Carnarvon,-24.8667,113.6333,94.23,24,0,8.12,AU,1697434563
115,São Gabriel da Cachoeira,-0.1303,-67.0892,71.94,98,100,1.21,BR,1697434564
116,Coquimbo,-29.9533,-71.3436,55.13,94,75,6.91,CL,1697434293
117,Labrador City,52.9463,-66.9114,35.51,87,100,12.66,CA,1697434565
118,Greenville,35.6127,-77.3663,50.04,95,75,0.0,US,1697434513
119,Hilo,19.7297,-155.09,76.73,89,100,5.75,US,1697434302
120,Colipapa,9.4726,122.5616,85.93,67,18,6.85,PH,1697434566
121,Naze,28.3667,129.4833,76.12,51,0,11.81,JP,1697434567
122,Igarka,67.4667,86.5833,33.58,99,100,4.59,RU,1697434567
123,Vernon,50.2581,-119.2691,56.73,79,100,5.75,CA,1697434510
124,Lázaro Cárdenas,17.9583,-102.2,79.39,89,100,3.49,MX,1697434568
125,Koratagere,13.5228,77.2331,84.0,47,11,6.98,IN,1697434569
126,Ancud,-41.8697,-73.8203,42.3,90,25,3.56,CL,1697434569
127,Port Saint John's,-31.6229,29.5448,64.62,93,100,16.62,ZA,1697434570
128,Kununurra,-15.7667,128.7333,100.38,7,0,12.66,AU,1697434570
129,Murewa,-17.6432,31.784,70.81,63,84,10.56,ZW,1697434570
130,Praia da Vitória,38.7333,-27.0667,68.25,88,75,33.46,PT,1697434571
131,Mossendjo,-2.9506,12.7261,70.32,98,100,1.61,CG,1697434571
132,St. John's,47.5649,-52.7093,52.68,95,100,6.91,CA,1697434492
133,Ushuaia,-54.8,-68.3,35.26,80,0,3.44,AR,1697434572
134,Guerrero Negro,27.9769,-114.0611,68.23,84,0,8.99,MX,1697434572
135,Thunder Bay,48.4001,-89.3168,46.38,76,100,6.91,CA,1697434452
136,Broome,42.2506,-75.833,47.19,96,100,8.05,US,1697434573
137,Laguna,38.421,-121.4238,70.77,59,0,3.44,US,1697434574
138,Tiksi,71.6872,128.8694,18.14,88,100,16.96,RU,1697434574
139,Arkhangelsk,64.5401,40.5433,39.13,78,81,13.69,RU,1697434574
140,Batang Berjuntai,3.3833,101.4167,89.65,76,89,2.68,MY,1697434361
141,Saacow,1.6279,42.4407,84.24,63,96,9.4,SO,1697434575
142,Vanimo,-2.6741,141.3028,84.51,68,67,6.91,PG,1697434576
143,Kenora,49.8167,-94.4337,43.77,87,0,8.05,CA,1697434576
